"sistema";"uf_sigla";"uf_codigo";"uf_nome";"granularidade";"filtro_cid";"periodo";"valor"
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Jan";177
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Fev";169
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Mar";181
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Abr";179
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Mai";158
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Jun";172
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Jul";185
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Ago";186
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Set";174
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Out";161
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Nov";164
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2012/Dez";154
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Jan";175
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Fev";177
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Mar";173
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Abr";150
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Mai";166
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Jun";175
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Jul";168
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Ago";171
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Set";174
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Out";161
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Nov";156
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2013/Dez";171
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Jan";161
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Fev";179
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Mar";202
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Abr";225
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Mai";211
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Jun";188
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Jul";184
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Ago";201
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Set";177
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Out";165
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Nov";172
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2014/Dez";171
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Jan";189
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Fev";142
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Mar";214
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Abr";236
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Mai";240
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Jun";188
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Jul";178
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Ago";182
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Set";194
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Out";206
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Nov";172
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2015/Dez";220
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Jan";192
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Fev";210
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Mar";231
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Abr";257
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Mai";212
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Jun";175
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Jul";194
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Ago";177
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Set";186
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Out";160
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Nov";169
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Dez";152
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Jan";187
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Fev";173
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Mar";267
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Abr";209
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Mai";233
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Jun";201
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Jul";195
