"sistema";"uf_sigla";"uf_codigo";"uf_nome";"granularidade";"filtro_cid";"periodo";"valor"
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2012";1447
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2013";1576
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2014";1547
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2015";1727
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2016";1683
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2017";1804
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2018";1786
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2019";1871
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2020";2279
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2021";1994
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2022";1960
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2023";1902
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2024";2000
"SIM-DO";"MA";"21";"Maranhão";"anual";"I10,I11,I12,I13,I14,I15";"2025";0
