"sistema";"uf_sigla";"uf_codigo";"uf_nome";"granularidade";"filtro_cid";"periodo";"valor"
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2012";1831
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2013";1868
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2014";2060
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2015";2120
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2016";1953
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2017";2448
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2018";2174
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2019";2338
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2020";1805
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2021";1730
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2022";2426
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2023";2374
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2024";2665
"SIM-DO";"GO";"52";"Goiás";"anual";"J40,J41,J42,J43,J44,J45,J46,J47";"2025";0
