"sistema";"uf_sigla";"uf_codigo";"uf_nome";"granularidade";"filtro_cid";"periodo";"valor"
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Jan";109
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Fev";142
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Mar";116
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Abr";135
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Mai";148
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Jun";111
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Jul";115
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Ago";110
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Set";118
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Out";119
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Nov";113
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2012/Dez";111
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2013/Jan";131
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2013/Fev";138
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2013/Mar";152
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2013/Abr";171
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2013/Mai";121
"SIM-DO";"MA";"21";"Maranhão";"mensal";"I10,I11,I12,I13,I14,I15";"2013/Jun";126
