CNES - Recursos Físicos - Equipamentos - Brasil
Equipamentos Existentes por Unidade da Federação e Ano/mês compet.
Região: 1 Região Norte, 2 Região Nordeste, 3 Região Sudeste, 4 Região Sul, 5 Região Centro-Oeste
Unidade da Federação: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Esfera Administrativa: Federal, Estadual, Municipal, Privada, Esfera não informada
Equipamento: .. RESPIRADOR/VENTILADOR
Grupo de Equipamentos: Equipamentos para Manutencao da Vida
Período:2012-2022
"Unidade da Federação";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez"
"11 Rondônia";267;271;271;277;277;277;274;277;296;277;282;283;283;270;274;277;309;309;312;311;310;311;312;313;317;299;303;304;305;309;310;312;314;314;314;314;311;319;321;322;322;322;319;319;319;320;320;322;322;329;326;339;340;339;339;338;338;338;339;339;340;340;340;409;410;411;418;417;422;419;439;438;440;450;448;448;460;469;474;475;475;486;487;487;487;488;490;497;498;501;505;485;504;512;507;492;494;494;480;493;510;605;603;653;663;673;674;695;706;791;795;817;853;858;924;959;953;952;952;952;1002;1022;1038;1036;1040;1040;1033;1047;1052;994;994;994
"12 Acre";73;74;74;75;75;81;82;82;82;90;91;91;91;91;94;100;98;98;98;99;99;99;99;99;99;99;99;100;100;100;111;111;111;111;108;108;106;106;106;106;115;115;117;115;117;117;117;114;116;116;116;116;119;119;119;119;119;121;121;121;121;121;120;121;121;120;140;140;140;141;141;141;141;141;141;141;143;143;149;149;149;149;148;148;148;148;158;155;152;152;149;151;151;152;152;152;152;152;152;157;166;188;203;213;212;224;225;225;225;226;328;345;344;347;349;359;360;361;365;365;364;364;366;370;372;372;372;376;377;277;283;283
"13 Amazonas";617;623;623;626;627;628;628;628;628;628;628;643;643;655;655;657;657;657;658;660;675;678;675;675;675;675;678;695;714;721;724;730;733;737;742;754;753;755;756;769;769;769;788;786;786;786;785;785;785;786;792;802;802;807;813;816;824;820;831;845;845;831;826;826;826;814;824;831;832;842;842;842;852;857;950;940;934;934;936;923;923;952;953;876;859;877;877;878;899;879;841;875;885;886;898;899;899;899;899;1072;1127;1172;1209;1233;1231;1242;1207;1341;1325;1360;1403;1405;1415;1416;1415;1418;1425;1418;1434;1434;1413;1424;1410;1427;1441;1433;1435;1435;1439;1442;1443;1392
"14 Roraima";62;63;63;65;65;65;85;86;86;86;86;86;86;83;83;91;91;91;91;89;89;89;89;89;89;89;89;90;111;111;111;110;110;110;110;110;109;107;108;109;109;109;109;107;107;109;109;109;109;109;109;109;107;107;107;107;107;107;107;107;107;107;108;121;140;140;140;140;140;140;140;140;140;140;140;141;141;141;141;141;141;139;138;138;138;138;138;138;138;139;139;139;139;142;152;151;152;152;151;165;200;202;207;207;207;216;216;194;194;194;189;189;209;209;211;229;230;230;384;384;384;384;384;372;352;352;352;352;349;350;307;307
"15 Pará";949;926;926;927;935;1013;1014;1025;1025;1005;1029;1043;1043;1044;1056;1056;1062;1079;1128;1132;1184;1190;1187;1184;1184;1185;1197;1204;1209;1179;1185;1196;1199;1219;1247;1247;1229;1188;1246;1237;1236;1235;1240;1251;1252;1252;1256;1253;1253;1258;1227;1231;1255;1311;1325;1353;1389;1388;1388;1380;1390;1385;1399;1402;1399;1369;1384;1426;1427;1424;1426;1462;1469;1469;1478;1484;1489;1489;1484;1488;1498;1486;1518;1548;1558;1544;1554;1543;1549;1545;1453;1485;1531;1527;1531;1531;1416;1412;1464;1495;1605;1786;1835;1883;1903;1914;1905;1904;1933;1984;2292;2303;2375;2471;2485;2500;2499;2531;2545;2573;2441;2483;2486;2495;2513;2538;2542;2550;2542;2545;2549;2560
"16 Amapá";90;90;91;91;92;92;93;93;93;93;93;93;93;93;93;93;93;93;93;94;94;94;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;94;94;94;96;89;89;89;89;89;89;88;88;66;85;86;86;86;86;86;89;89;89;86;88;88;88;88;87;87;87;93;93;93;93;94;94;94;94;94;111;119;119;173;175;175;202;188;188;186;188;188;215;228;228;228;211;211;203;203;203;169;169;169;169;178;178;178;178;178;178;178;178;164
"17 Tocantins";194;194;195;197;199;216;217;217;217;217;217;217;217;217;219;219;219;219;222;222;222;223;224;248;248;248;248;249;249;251;251;251;249;249;264;264;267;267;267;267;267;267;270;270;270;270;265;265;268;268;267;267;271;271;293;294;294;294;294;294;294;300;300;315;316;316;323;323;323;323;315;315;314;315;315;315;315;312;314;317;323;321;321;320;320;320;320;320;323;323;323;323;323;326;326;325;325;318;326;326;365;366;366;384;384;409;410;410;412;422;460;492;567;576;576;588;582;590;585;586;588;588;663;664;664;712;712;707;733;743;706;689
"21 Maranhão";526;568;570;570;572;572;601;599;611;610;612;612;613;617;620;615;627;626;625;630;627;627;629;631;641;639;642;643;644;644;644;644;654;655;655;650;647;649;650;646;647;648;651;676;700;703;703;713;739;737;739;736;745;744;728;742;786;786;786;786;787;816;820;821;821;821;825;827;909;909;925;917;915;931;931;959;968;976;1008;1007;1013;982;984;984;1005;1013;1026;1040;1040;1042;1061;1061;1062;1060;1060;1062;1061;1064;1145;1194;1276;1330;1355;1340;1334;1393;1412;1412;1443;1426;1588;1621;1637;1664;1685;1664;1659;1657;1656;1646;1631;1633;1666;1664;1648;1655;1653;1654;1631;1625;1625;1625
"22 Piauí";199;199;199;212;212;217;218;218;219;219;219;221;221;229;229;242;244;244;244;248;248;250;250;250;250;250;250;250;250;249;249;252;260;260;260;260;259;257;257;257;248;245;256;256;286;289;293;293;293;293;278;279;281;279;278;281;282;302;316;318;346;357;372;359;362;361;381;367;367;367;368;377;377;406;406;405;407;407;402;407;420;421;430;419;419;422;413;424;421;421;411;406;444;456;462;465;453;450;450;483;499;563;579;599;601;605;603;604;604;671;686;716;747;746;746;763;766;767;773;798;818;818;818;819;819;815;816;821;818;820;810;842
"23 Ceará";1147;1273;1305;1312;1319;1342;1347;1350;1366;1369;1371;1371;1371;1372;1377;1377;1377;1379;1379;1402;1406;1523;1528;1540;1657;1669;1660;1661;1661;1672;1739;1765;1771;1775;1781;1791;1729;1730;1732;1733;1733;1738;1738;1738;1755;1757;1757;1758;1758;1755;1742;1598;1614;1625;1625;1671;1655;1651;1658;1654;1674;1680;1677;1680;1704;1713;1736;1785;1735;1742;1744;1822;1829;1830;1811;1828;1829;1839;1839;1843;1889;1890;1875;1877;1911;1911;1915;1957;1958;1963;1972;2015;2009;2057;2075;2079;2078;2137;2245;2202;2304;2301;2664;2735;2740;2764;2758;2763;2697;2712;2973;3336;3443;3534;3539;3551;3567;3566;3590;3536;3526;3536;3544;3591;3684;3689;3756;3594;3576;3559;3561;3563
