Periodo,Histórico,Previsão,Limite inferior,Limite superior
2012-01,177.00,,,
2012-02,169.00,,,
2012-03,181.00,,,
2012-04,179.00,,,
2012-05,158.00,,,
2012-06,172.00,,,
2012-07,185.00,,,
2012-08,186.00,,,
2012-09,174.00,,,
2012-10,161.00,,,
2012-11,164.00,,,
2012-12,154.00,,,
2013-01,175.00,,,
2013-02,177.00,,,
2013-03,173.00,,,
2013-04,150.00,,,
2013-05,166.00,,,
2013-06,175.00,,,
2013-07,168.00,,,
2013-08,171.00,,,
2013-09,174.00,,,
2013-10,161.00,,,
2013-11,156.00,,,
2013-12,171.00,,,
2014-01,161.00,,,
2014-02,179.00,,,
2014-03,202.00,,,
2014-04,225.00,,,
2014-05,211.00,,,
2014-06,188.00,,,
2014-07,184.00,,,
2014-08,201.00,,,
2014-09,177.00,,,
2014-10,165.00,,,
2014-11,172.00,,,
2014-12,171.00,,,
2015-01,189.00,,,
2015-02,142.00,,,
2015-03,214.00,,,
2015-04,236.00,,,
2015-05,240.00,,,
2015-06,188.00,,,
2015-07,178.00,,,
2015-08,182.00,,,
2015-09,194.00,,,
2015-10,206.00,,,
2015-11,172.00,,,
2015-12,220.00,,,
2016-01,192.00,,,
2016-02,210.00,,,
2016-03,231.00,,,
2016-04,257.00,,,
2016-05,212.00,,,
2016-06,175.00,,,
2016-07,194.00,,,
2016-08,177.00,,,
2016-09,186.00,,,
2016-10,160.00,,,
2016-11,169.00,,,
2016-12,152.00,,,
2017-01,187.00,,,
2017-02,173.00,,,
2017-03,267.00,,,
2017-04,209.00,,,
2017-05,233.00,,,
2017-06,201.00,,,
2017-07,195.00,,,
2017-08,177.00,,,
2017-09,184.00,,,
2017-10,184.00,,,
2017-11,175.00,,,
2017-12,176.00,,,
2018-01,219.00,,,
2018-02,218.00,,,
2018-03,206.00,,,
2018-04,225.00,,,
2018-05,252.00,,,
2018-06,230.00,,,
2018-07,197.00,,,
2018-08,206.00,,,
2018-09,197.00,,,
2018-10,196.00,,,
2018-11,192.00,,,
2018-12,220.00,,,
2019-01,229.00,,,
2019-02,210.00,,,
2019-03,245.00,,,
2019-04,226.00,,,
2019-05,253.00,,,
2019-06,252.00,,,
2019-07,231.00,,,
2019-08,191.00,,,
2019-09,216.00,,,
2019-10,199.00,,,
2019-11,190.00,,,
2019-12,220.00,,,
2020-01,230.00,,,
2020-02,198.00,,,
2020-03,271.00,,,
2020-04,320.00,,,
2020-05,488.00,,,
2020-06,288.00,,,
2020-07,251.00,,,
2020-08,251.00,,,
2020-09,205.00,,,
2020-10,211.00,,,
2020-11,190.00,,,
2020-12,220.00,,,
2021-01,227.00,,,
2021-02,228.00,,,
2021-03,282.00,,,
2021-04,276.00,,,
2021-05,286.00,,,
2021-06,281.00,,,
2021-07,228.00,,,
2021-08,226.00,,,
2021-09,205.00,,,
2021-10,204.00,,,
2021-11,216.00,,,
2021-12,260.00,,,
2022-01,399.00,,,
2022-02,219.00,,,
2022-03,239.00,,,
2022-04,195.00,,,
2022-05,242.00,,,
2022-06,202.00,,,
2022-07,239.00,,,
2022-08,213.00,,,
2022-09,175.00,,,
2022-10,198.00,,,
2022-11,194.00,,,
2022-12,239.00,,,
2023-01,195.00,,,
2023-02,188.00,,,
2023-03,229.00,,,
2023-04,235.00,,,
2023-05,231.00,,,
2023-06,201.00,,,
2023-07,221.00,,,
2023-08,231.00,,,
2023-09,209.00,,,
2023-10,197.00,,,
2023-11,183.00,,,
2023-12,188.00,,,
2024-01,240.00,,,
2024-02,214.00,,,
2024-03,257.00,,,
2024-04,246.00,,,
2024-05,235.00,,,
2024-06,194.00,,,
2024-07,190.00,,,
2024-08,208.00,,,
2024-09,186.00,,,
2024-10,206.00,,,
2024-11,198.00,,,
2024-12,200.00,200.00,200.00,200.00
2025-01,,192.76,148.53,250.08
2025-02,,188.06,138.98,254.33
2025-03,,213.20,153.22,296.52
2025-04,,214.37,153.90,298.45
2025-05,,211.86,151.94,295.26
2025-06,,197.00,141.12,274.85
2025-07,,203.98,145.98,284.86
2025-08,,208.99,149.43,292.15
2025-09,,198.72,141.93,278.09
2025-10,,195.61,139.56,274.02
2025-11,,189.13,134.79,265.21
2025-12,,191.12,136.07,268.26
